ID-modifed,Qual a situação da MORADIA DO GRUPO FAMILIAR?,Qual o principal meio de transporte que você utiliza para vir até a Universidade?,Renda per capita,NORMALIZAÇÃO: RENDA PERCAPITA,Valor Total dos bens familiares,NORMALIZAÇÃO: VALOR TOTAL DOS BENS,Despesas per capita,Normalização : Despesas per capita
1,1,1,166,"0,0572019297",0,0,73,"0,04400241109"
2,2,2,582,"0,2005513439",0,0,155,"0,09342977697"
3,1,1,166,"0,0572019297",0,0,41,"0,02471368294"
4,2,3,205,"0,07064093728",142000,"0,2028571429",20,"0,01205545509"
5,2,2,0,0,0,0,100,"0,06027727547"
6,1,2,478,"0,1647139904",7000,"0,01",111,"0,06690777577"
7,3,1,867,"0,2987594762",9000,"0,01285714286",237,"0,1428571429"
8,2,3,318,"0,1095796003",10806,"0,01543714286",27,"0,01627486438"
9,2,2,1118,"0,3852515507",15000,"0,02142857143",56,"0,03375527426"
10,2,2,1100,"0,3790489318",17000,"0,02428571429",82,"0,04942736588"
11,2,3,500,"0,172294969",0,0,130,"0,07836045811"
12,3,1,241,"0,08304617505",0,0,310,"0,1868595539"
13,3,1,416,"0,1433494142",0,0,232,"0,1398432791"
14,1,3,318,"0,1095796003",21500,"0,03071428571",246,"0,1482820976"
15,3,2,364,"0,1254307374",12200,"0,01742857143",1659,1
16,3,2,318,"0,1095796003",0,0,187,"0,1127185051"
17,2,3,501,"0,1726395589",10000,"0,01428571429",150,"0,0904159132"
18,2,1,318,"0,1095796003",35950,"0,05135714286",160,"0,09644364075"
19,2,1,238,"0,08201240524",45442,"0,06491714286",79,"0,04761904762"
20,1,3,318,"0,1095796003",0,0,221,"0,1332127788"
21,2,2,477,"0,1643694004",18315,"0,02616428571",0,0
22,2,3,468,"0,161268091",10000,"0,01428571429",150,"0,0904159132"
23,1,4,238,"0,08201240524",13000,"0,01857142857",50,"0,03013863773"
24,2,2,238,"0,08201240524",68000,"0,09714285714",45,"0,02712477396"
25,2,2,238,"0,08201240524",30000,"0,04285714286",95,"0,05726341169"
26,2,2,238,"0,08201240524",30000,"0,04285714286",95,"0,05726341169"
27,1,5,690,"0,2377670572",2500,"0,003571428571",65,"0,03918022905"
28,2,2,636,"0,2191592006",0,0,159,"0,09584086799"
29,1,3,318,"0,1095796003",9000,"0,01285714286",20,"0,01205545509"
30,2,2,551,"0,1898690558",0,0,133,"0,08016877637"
31,2,3,551,"0,1898690558",68500,"0,09785714286",152,"0,09162145871"
32,1,1,407,"0,1402481048",0,0,0,0
33,2,3,636,"0,2191592006",60000,"0,08571428571",133,"0,08016877637"
34,2,3,533,"0,1836664369",45000,"0,06428571429",53,"0,031946956"
